frame,op,x,y,w,h,r,g,b,text
70,TEXT,10,120,0,0,255,255,255,Gen 70 Max 2
71,RECTF,81,70,5,30,0,255,0,
71,PSET,81,87,0,0,0,0,255,
72,RECTF,82,70,5,30,0,255,0,
72,PSET,82,86,0,0,0,0,255,
73,RECTF,83,70,5,30,0,255,0,
73,PSET,83,85,0,0,0,0,255,
74,RECTF,84,80,5,20,0,255,0,
74,PSET,84,87,0,0,0,0,255,
75,RECTF,85,70,5,30,0,255,0,
75,PSET,85,81,0,0,0,0,255,
76,RECTF,86,70,5,30,0,255,0,
76,PSET,86,86,0,0,0,0,255,
77,RECTF,87,80,5,20,0,255,0,
77,PSET,87,90,0,0,0,0,255,
78,RECTF,88,80,5,20,0,255,0,
78,PSET,88,86,0,0,0,0,255,
79,RECTF,89,80,5,20,0,255,0,
79,PSET,89,86,0,0,0,0,255,
80,RECTF,90,80,5,20,0,255,0,
80,PSET,90,88,0,0,0,0,255,
80,TEXT,10,120,0,0,255,255,255,Gen 80 Max 2
81,RECTF,91,60,5,40,0,255,0,
81,PSET,91,81,0,0,0,0,255,
82,RECTF,92,90,5,10,0,255,0,
82,PSET,92,91,0,0,0,0,255,
83,RECTF,93,80,5,20,0,255,0,
83,PSET,93,88,0,0,0,0,255,
84,RECTF,94,60,5,40,0,255,0,
84,PSET,94,81,0,0,0,0,255,
85,RECTF,95,80,5,20,0,255,0,
85,PSET,95,86,0,0,0,0,255,
86,RECTF,96,80,5,20,0,255,0,
86,PSET,96,86,0,0,0,0,255,
87,RECTF,97,80,5,20,0,255,0,
87,PSET,97,87,0,0,0,0,255,
88,RECTF,98,80,5,20,0,255,0,
88,PSET,98,83,0,0,0,0,255,
89,RECTF,99,60,5,40,0,255,0,
89,PSET,99,86,0,0,0,0,255,
90,RECTF,100,90,5,10,0,255,0,
90,PSET,100,90,0,0,0,0,255,
90,TEXT,10,120,0,0,255,255,255,Gen 90 Max 1
91,RECTF,101,90,5,10,0,255,0,
91,PSET,101,90,0,0,0,0,255,
92,RECTF,102,90,5,10,0,255,0,
92,PSET,102,90,0,0,0,0,255,
93,RECTF,103,90,5,10,0,255,0,
93,PSET,103,90,0,0,0,0,255,
94,RECTF,104,90,5,10,0,255,0,
94,PSET,104,90,0,0,0,0,255,
95,RECTF,105,90,5,10,0,255,0,
95,PSET,105,90,0,0,0,0,255,
96,RECTF,106,90,5,10,0,255,0,
96,PSET,106,90,0,0,0,0,255,
97,RECTF,107,90,5,10,0,255,0,
97,PSET,107,90,0,0,0,0,255,
98,RECTF,108,90,5,10,0,255,0,
98,PSET,108,90,0,0,0,0,255,
99,RECTF,109,90,5,10,0,255,0,
99,PSET,109,90,0,0,0,0,255,
100,RECTF,110,90,5,10,0,255,0,
100,PSET,110,90,0,0,0,0,255,
100,TEXT,10,120,0,0,255,255,255,Gen 100 Max 1
101,RECTF,111,90,5,10,0,255,0,
101,PSET,111,90,0,0,0,0,255,
102,RECTF,112,90,5,10,0,255,0,
102,PSET,112,90,0,0,0,0,255,
103,RECTF,113,90,5,10,0,255,0,
103,PSET,113,90,0,0,0,0,255,
104,RECTF,114,90,5,10,0,255,0,
104,PSET,114,90,0,0,0,0,255,
105,RECTF,115,90,5,10,0,255,0,
105,PSET,115,90,0,0,0,0,255,
106,RECTF,116,90,5,10,0,255,0,
106,PSET,116,90,0,0,0,0,255,
107,RECTF,117,90,5,10,0,255,0,
107,PSET,117,90,0,0,0,0,255,
108,RECTF,118,90,5,10,0,255,0,
108,PSET,118,90,0,0,0,0,255,
109,RECTF,119,90,5,10,0,255,0,
109,PSET,119,90,0,0,0,0,255,
110,RECTF,120,90,5,10,0,255,0,
110,PSET,120,90,0,0,0,0,255,
110,TEXT,10,120,0,0,255,255,255,Gen 110 Max 1
111,RECTF,121,90,5,10,0,255,0,
111,PSET,121,90,0,0,0,0,255,
112,RECTF,122,90,5,10,0,255,0,
112,PSET,122,90,0,0,0,0,255,
113,RECTF,123,90,5,10,0,255,0,
113,PSET,123,90,0,0,0,0,255,
114,RECTF,124,90,5,10,0,255,0,
114,PSET,124,90,0,0,0,0,255,
115,RECTF,125,90,5,10,0,255,0,
115,PSET,125,90,0,0,0,0,255,
116,RECTF,126,90,5,10,0,255,0,
116,PSET,126,90,0,0,0,0,255,
117,RECTF,127,90,5,10,0,255,0,
117,PSET,127,90,0,0,0,0,255,
118,RECTF,128,90,5,10,0,255,0,
118,PSET,128,90,0,0,0,0,255,
119,RECTF,129,90,5,10,0,255,0,
119,PSET,129,90,0,0,0,0,255,
120,RECTF,130,90,5,10,0,255,0,
120,PSET,130,90,0,0,0,0,255,
120,TEXT,10,120,0,0,255,255,255,Gen 120 Max 1
121,RECTF,131,90,5,10,0,255,0,
121,PSET,131,90,0,0,0,0,255,
122,RECTF,132,90,5,10,0,255,0,
122,PSET,132,90,0,0,0,0,255,
123,RECTF,133,90,5,10,0,255,0,
123,PSET,133,90,0,0,0,0,255,
124,RECTF,134,90,5,10,0,255,0,
124,PSET,134,90,0,0,0,0,255,
125,RECTF,135,90,5,10,0,255,0,
125,PSET,135,90,0,0,0,0,255,
126,RECTF,136,90,5,10,0,255,0,
126,PSET,136,90,0,0,0,0,255,
127,RECTF,137,90,5,10,0,255,0,
127,PSET,137,90,0,0,0,0,255,
128,RECTF,138,90,5,10,0,255,0,
128,PSET,138,90,0,0,0,0,255,
129,RECTF,139,90,5,10,0,255,0,
129,PSET,139,90,0,0,0,0,255,
130,RECTF,140,90,5,10,0,255,0,
130,PSET,140,90,0,0,0,0,255,
130,TEXT,10,120,0,0,255,255,255,Gen 130 Max 1
131,RECTF,141,90,5,10,0,255,0,
131,PSET,141,90,0,0,0,0,255,
132,RECTF,142,90,5,10,0,255,0,
132,PSET,142,90,0,0,0,0,255,
133,RECTF,143,90,5,10,0,255,0,
133,PSET,143,90,0,0,0,0,255,
134,RECTF,144,90,5,10,0,255,0,
134,PSET,144,90,0,0,0,0,255,
135,RECTF,145,90,5,10,0,255,0,
135,PSET,145,90,0,0,0,0,255,
136,RECTF,146,90,5,10,0,255,0,
136,PSET,146,90,0,0,0,0,255,
137,RECTF,147,90,5,10,0,255,0,
137,PSET,147,90,0,0,0,0,255,
138,RECTF,148,90,5,10,0,255,0,
138,PSET,148,90,0,0,0,0,255,
139,RECTF,149,90,5,10,0,255,0,
139,PSET,149,90,0,0,0,0,255,
140,RECTF,150,90,5,10,0,255,0,
140,PSET,150,90,0,0,0,0,255,
140,TEXT,10,120,0,0,255,255,255,Gen 140 Max 1
141,RECTF,151,90,5,10,0,255,0,
141,PSET,151,90,0,0,0,0,255,
142,RECTF,152,90,5,10,0,255,0,
142,PSET,152,90,0,0,0,0,255,
143,RECTF,153,90,5,10,0,255,0,
143,PSET,153,90,0,0,0,0,255,
144,RECTF,154,90,5,10,0,255,0,
144,PSET,154,90,0,0,0,0,255,
145,RECTF,155,90,5,10,0,255,0,
145,PSET,155,90,0,0,0,0,255,
146,RECTF,156,90,5,10,0,255,0,
146,PSET,156,90,0,0,0,0,255,
147,RECTF,157,90,5,10,0,255,0,
147,PSET,157,90,0,0,0,0,255,
148,RECTF,158,90,5,10,0,255,0,
148,PSET,158,90,0,0,0,0,255,
149,RECTF,159,90,5,10,0,255,0,
149,PSET,159,90,0,0,0,0,255,
150,RECTF,160,90,5,10,0,255,0,
150,PSET,160,90,0,0,0,0,255,
150,TEXT,10,120,0,0,255,255,255,Gen 150 Max 1
151,RECTF,161,90,5,10,0,255,0,
151,PSET,161,90,0,0,0,0,255,
152,RECTF,162,90,5,10,0,255,0,
152,PSET,162,90,0,0,0,0,255,
153,RECTF,163,90,5,10,0,255,0,
153,PSET,163,90,0,0,0,0,255,
154,RECTF,164,90,5,10,0,255,0,
154,PSET,164,90,0,0,0,0,255,
155,RECTF,165,90,5,10,0,255,0,
155,PSET,165,90,0,0,0,0,255,
156,RECTF,166,90,5,10,0,255,0,
156,PSET,166,90,0,0,0,0,255,
157,RECTF,167,90,5,10,0,255,0,
157,PSET,167,90,0,0,0,0,255,
158,RECTF,168,90,5,10,0,255,0,
158,PSET,168,90,0,0,0,0,255,
159,RECTF,169,90,5,10,0,255,0,
159,PSET,169,90,0,0,0,0,255,
160,RECTF,170,90,5,10,0,255,0,
160,PSET,170,90,0,0,0,0,255,
160,TEXT,10,120,0,0,255,255,255,Gen 160 Max 1
161,RECTF,171,90,5,10,0,255,0,
161,PSET,171,90,0,0,0,0,255,
162,RECTF,172,90,5,10,0,255,0,
162,PSET,172,90,0,0,0,0,255,
163,RECTF,173,90,5,10,0,255,0,
163,PSET,173,90,0,0,0,0,255,
164,RECTF,174,90,5,10,0,255,0,
164,PSET,174,90,0,0,0,0,255,
165,RECTF,175,90,5,10,0,255,0,
165,PSET,175,90,0,0,0,0,255,
166,RECTF,176,90,5,10,0,255,0,
166,PSET,176,90,0,0,0,0,255,
167,RECTF,177,90,5,10,0,255,0,
167,PSET,177,90,0,0,0,0,255,
168,RECTF,178,90,5,10,0,255,0,
168,PSET,178,90,0,0,0,0,255,
169,RECTF,179,90,5,10,0,255,0,
169,PSET,179,90,0,0,0,0,255,
170,RECTF,180,90,5,10,0,255,0,
170,PSET,180,90,0,0,0,0,255,
170,TEXT,10,120,0,0,255,255,255,Gen 170 Max 1
171,RECTF,181,90,5,10,0,255,0,
171,PSET,181,90,0,0,0,0,255,
172,RECTF,182,90,5,10,0,255,0,
172,PSET,182,90,0,0,0,0,255,
173,RECTF,183,90,5,10,0,255,0,
173,PSET,183,91,0,0,0,0,255,
174,RECTF,184,90,5,10,0,255,0,
174,PSET,184,90,0,0,0,0,255,
175,RECTF,185,90,5,10,0,255,0,
175,PSET,185,90,0,0,0,0,255,
176,RECTF,186,90,5,10,0,255,0,
176,PSET,186,90,0,0,0,0,255,
177,RECTF,187,90,5,10,0,255,0,
177,PSET,187,90,0,0,0,0,255,
178,RECTF,188,90,5,10,0,255,0,
178,PSET,188,90,0,0,0,0,255,
179,RECTF,189,90,5,10,0,255,0,
179,PSET,189,90,0,0,0,0,255,
180,RECTF,190,90,5,10,0,255,0,
180,PSET,190,90,0,0,0,0,255,
180,TEXT,10,120,0,0,255,255,255,Gen 180 Max 1
181,RECTF,191,90,5,10,0,255,0,
181,PSET,191,90,0,0,0,0,255,
182,RECTF,192,90,5,10,0,255,0,
182,PSET,192,90,0,0,0,0,255,
183,RECTF,193,90,5,10,0,255,0,
183,PSET,193,90,0,0,0,0,255,
184,RECTF,194,90,5,10,0,255,0,
184,PSET,194,90,0,0,0,0,255,
185,RECTF,195,90,5,10,0,255,0,
185,PSET,195,90,0,0,0,0,255,
186,RECTF,196,90,5,10,0,255,0,
186,PSET,196,90,0,0,0,0,255,
187,RECTF,197,90,5,10,0,255,0,
187,PSET,197,90,0,0,0,0,255,
188,RECTF,198,90,5,10,0,255,0,
188,PSET,198,90,0,0,0,0,255,
189,RECTF,199,90,5,10,0,255,0,
189,PSET,199,90,0,0,0,0,255,
190,RECTF,200,90,5,10,0,255,0,
190,PSET,200,90,0,0,0,0,255,
190,TEXT,10,120,0,0,255,255,255,Gen 190 Max 1
191,RECTF,201,90,5,10,0,255,0,
191,PSET,201,90,0,0,0,0,255,
192,RECTF,202,90,5,10,0,255,0,
192,PSET,202,90,0,0,0,0,255,
193,RECTF,203,90,5,10,0,255,0,
193,PSET,203,90,0,0,0,0,255,
194,RECTF,204,90,5,10,0,255,0,
194,PSET,204,90,0,0,0,0,255,
195,RECTF,205,90,5,10,0,255,0,
195,PSET,205,90,0,0,0,0,255,
196,RECTF,206,90,5,10,0,255,0,
196,PSET,206,90,0,0,0,0,255,
197,RECTF,207,90,5,10,0,255,0,
197,PSET,207,90,0,0,0,0,255,
198,RECTF,208,90,5,10,0,255,0,
198,PSET,208,90,0,0,0,0,255,
199,RECTF,209,90,5,10,0,255,0,
199,PSET,209,90,0,0,0,0,255,
200,RECTF,210,90,5,10,0,255,0,
200,PSET,210,90,0,0,0,0,255,
200,TEXT,10,120,0,0,255,255,255,Gen 200 Max 1
201,RECTF,211,90,5,10,0,255,0,
201,PSET,211,90,0,0,0,0,255,
202,RECTF,212,90,5,10,0,255,0,
202,PSET,212,90,0,0,0,0,255,
203,RECTF,213,90,5,10,0,255,0,
203,PSET,213,90,0,0,0,0,255,
204,RECTF,214,90,5,10,0,255,0,
204,PSET,214,90,0,0,0,0,255,
205,RECTF,215,90,5,10,0,255,0,
205,PSET,215,90,0,0,0,0,255,
206,RECTF,216,90,5,10,0,255,0,
206,PSET,216,90,0,0,0,0,255,
207,RECTF,217,90,5,10,0,255,0,
207,PSET,217,90,0,0,0,0,255,
208,RECTF,218,90,5,10,0,255,0,
208,PSET,218,90,0,0,0,0,255,
209,RECTF,219,90,5,10,0,255,0,
209,PSET,219,90,0,0,0,0,255,
210,RECTF,220,90,5,10,0,255,0,
210,PSET,220,90,0,0,0,0,255,
210,TEXT,10,120,0,0,255,255,255,Gen 210 Max 1
211,RECTF,221,90,5,10,0,255,0,
211,PSET,221,90,0,0,0,0,255,
212,RECTF,222,90,5,10,0,255,0,
212,PSET,222,90,0,0,0,0,255,
213,RECTF,223,90,5,10,0,255,0,
213,PSET,223,90,0,0,0,0,255,
214,RECTF,224,90,5,10,0,255,0,
214,PSET,224,90,0,0,0,0,255,
215,RECTF,225,90,5,10,0,255,0,
215,PSET,225,90,0,0,0,0,255,
216,RECTF,226,90,5,10,0,255,0,
216,PSET,226,90,0,0,0,0,255,
217,RECTF,227,90,5,10,0,255,0,
217,PSET,227,90,0,0,0,0,255,
218,RECTF,228,90,5,10,0,255,0,
218,PSET,228,90,0,0,0,0,255,
219,RECTF,229,90,5,10,0,255,0,
219,PSET,229,90,0,0,0,0,255,
220,RECTF,230,90,5,10,0,255,0,
220,PSET,230,90,0,0,0,0,255,
220,TEXT,10,120,0,0,255,255,255,Gen 220 Max 1
221,RECTF,231,90,5,10,0,255,0,
221,PSET,231,90,0,0,0,0,255,
222,RECTF,232,90,5,10,0,255,0,
222,PSET,232,90,0,0,0,0,255,
223,RECTF,233,90,5,10,0,255,0,
223,PSET,233,90,0,0,0,0,255,
224,RECTF,234,90,5,10,0,255,0,
224,PSET,234,90,0,0,0,0,255,
225,RECTF,235,90,5,10,0,255,0,
225,PSET,235,90,0,0,0,0,255,
226,RECTF,236,90,5,10,0,255,0,
226,PSET,236,90,0,0,0,0,255,
227,RECTF,237,90,5,10,0,255,0,
227,PSET,237,90,0,0,0,0,255,
228,RECTF,238,90,5,10,0,255,0,
228,PSET,238,90,0,0,0,0,255,
229,RECTF,239,90,5,10,0,255,0,
229,PSET,239,90,0,0,0,0,255,
230,RECTF,240,90,5,10,0,255,0,
230,PSET,240,90,0,0,0,0,255,
230,TEXT,10,120,0,0,255,255,255,Gen 230 Max 1
231,RECTF,241,90,5,10,0,255,0,
231,PSET,241,90,0,0,0,0,255,
232,RECTF,242,90,5,10,0,255,0,
232,PSET,242,90,0,0,0,0,255,
233,RECTF,243,90,5,10,0,255,0,
233,PSET,243,90,0,0,0,0,255,
234,RECTF,244,90,5,10,0,255,0,
234,PSET,244,90,0,0,0,0,255,
235,RECTF,245,90,5,10,0,255,0,
235,PSET,245,90,0,0,0,0,255,
236,RECTF,246,90,5,10,0,255,0,
236,PSET,246,90,0,0,0,0,255,
237,RECTF,247,90,5,10,0,255,0,
237,PSET,247,90,0,0,0,0,255,
238,RECTF,248,90,5,10,0,255,0,
238,PSET,248,90,0,0,0,0,255,
239,RECTF,249,90,5,10,0,255,0,
239,PSET,249,90,0,0,0,0,255,
240,RECTF,10,90,5,10,0,255,0,
240,PSET,10,90,0,0,0,0,255,
240,TEXT,10,120,0,0,255,255,255,Gen 240 Max 1
241,RECTF,11,90,5,10,0,255,0,
241,PSET,11,90,0,0,0,0,255,
242,RECTF,12,90,5,10,0,255,0,
242,PSET,12,90,0,0,0,0,255,
243,RECTF,13,90,5,10,0,255,0,
243,PSET,13,90,0,0,0,0,255,
244,RECTF,14,90,5,10,0,255,0,
244,PSET,14,90,0,0,0,0,255,
245,RECTF,15,90,5,10,0,255,0,
245,PSET,15,90,0,0,0,0,255,
246,RECTF,16,90,5,10,0,255,0,
246,PSET,16,90,0,0,0,0,255,
247,RECTF,17,90,5,10,0,255,0,
247,PSET,17,90,0,0,0,0,255,
248,RECTF,18,90,5,10,0,255,0,
248,PSET,18,90,0,0,0,0,255,
249,RECTF,19,90,5,10,0,255,0,
249,PSET,19,90,0,0,0,0,255,
250,RECTF,20,90,5,10,0,255,0,
250,PSET,20,90,0,0,0,0,255,
250,TEXT,10,120,0,0,255,255,255,Gen 250 Max 1
251,RECTF,21,90,5,10,0,255,0,
251,PSET,21,90,0,0,0,0,255,
252,RECTF,22,90,5,10,0,255,0,
252,PSET,22,90,0,0,0,0,255,
253,RECTF,23,90,5,10,0,255,0,
253,PSET,23,90,0,0,0,0,255,
254,RECTF,24,90,5,10,0,255,0,
254,PSET,24,90,0,0,0,0,255,
255,RECTF,25,90,5,10,0,255,0,
255,PSET,25,90,0,0,0,0,255,
256,RECTF,26,90,5,10,0,255,0,
256,PSET,26,90,0,0,0,0,255,
257,RECTF,27,90,5,10,0,255,0,
257,PSET,27,90,0,0,0,0,255,
258,RECTF,28,90,5,10,0,255,0,
258,PSET,28,90,0,0,0,0,255,
259,RECTF,29,90,5,10,0,255,0,
259,PSET,29,90,0,0,0,0,255,
260,RECTF,30,90,5,10,0,255,0,
260,PSET,30,90,0,0,0,0,255,
260,TEXT,10,120,0,0,255,255,255,Gen 260 Max 1
261,RECTF,31,90,5,10,0,255,0,
261,PSET,31,90,0,0,0,0,255,
262,RECTF,32,90,5,10,0,255,0,
262,PSET,32,90,0,0,0,0,255,
263,RECTF,33,90,5,10,0,255,0,
263,PSET,33,90,0,0,0,0,255,
264,RECTF,34,90,5,10,0,255,0,
264,PSET,34,90,0,0,0,0,255,
265,RECTF,35,90,5,10,0,255,0,
265,PSET,35,90,0,0,0,0,255,
266,RECTF,36,90,5,10,0,255,0,
266,PSET,36,90,0,0,0,0,255,
267,RECTF,37,90,5,10,0,255,0,
267,PSET,37,90,0,0,0,0,255,
268,RECTF,38,90,5,10,0,255,0,
268,PSET,38,90,0,0,0,0,255,
269,RECTF,39,90,5,10,0,255,0,
269,PSET,39,90,0,0,0,0,255,
270,RECTF,40,90,5,10,0,255,0,
270,PSET,40,90,0,0,0,0,255,
270,TEXT,10,120,0,0,255,255,255,Gen 270 Max 1
271,RECTF,41,90,5,10,0,255,0,
271,PSET,41,90,0,0,0,0,255,
272,RECTF,42,90,5,10,0,255,0,
272,PSET,42,90,0,0,0,0,255,
273,RECTF,43,90,5,10,0,255,0,
273,PSET,43,90,0,0,0,0,255,
274,RECTF,44,90,5,10,0,255,0,
274,PSET,44,90,0,0,0,0,255,
275,RECTF,45,90,5,10,0,255,0,
275,PSET,45,90,0,0,0,0,255,
276,RECTF,46,90,5,10,0,255,0,
276,PSET,46,90,0,0,0,0,255,
277,RECTF,47,90,5,10,0,255,0,
277,PSET,47,90,0,0,0,0,255,
278,RECTF,48,90,5,10,0,255,0,
278,PSET,48,90,0,0,0,0,255,
279,RECTF,49,90,5,10,0,255,0,
279,PSET,49,90,0,0,0,0,255,
280,RECTF,50,90,5,10,0,255,0,
280,PSET,50,90,0,0,0,0,255,
280,TEXT,10,120,0,0,255,255,255,Gen 280 Max 1
281,RECTF,51,90,5,10,0,255,0,
281,PSET,51,90,0,0,0,0,255,
282,RECTF,52,90,5,10,0,255,0,
282,PSET,52,90,0,0,0,0,255,
283,RECTF,53,90,5,10,0,255,0,
283,PSET,53,90,0,0,0,0,255,
284,RECTF,54,90,5,10,0,255,0,
284,PSET,54,90,0,0,0,0,255,
285,RECTF,55,90,5,10,0,255,0,
285,PSET,55,90,0,0,0,0,255,
286,RECTF,56,90,5,10,0,255,0,
286,PSET,56,90,0,0,0,0,255,
287,RECTF,57,90,5,10,0,255,0,
287,PSET,57,90,0,0,0,0,255,
288,RECTF,58,90,5,10,0,255,0,
288,PSET,58,90,0,0,0,0,255,
289,RECTF,59,90,5,10,0,255,0,
289,PSET,59,90,0,0,0,0,255,
290,RECTF,60,90,5,10,0,255,0,
290,PSET,60,90,0,0,0,0,255,
290,TEXT,10,120,0,0,255,255,255,Gen 290 Max 1
291,RECTF,61,90,5,10,0,255,0,
291,PSET,61,90,0,0,0,0,255,
292,RECTF,62,90,5,10,0,255,0,
292,PSET,62,90,0,0,0,0,255,
293,RECTF,63,90,5,10,0,255,0,
293,PSET,63,90,0,0,0,0,255,
294,RECTF,64,90,5,10,0,255,0,
294,PSET,64,90,0,0,0,0,255,
295,RECTF,65,90,5,10,0,255,0,
295,PSET,65,90,0,0,0,0,255,
296,RECTF,66,80,5,20,0,255,0,
296,PSET,66,88,0,0,0,0,255,
297,RECTF,67,90,5,10,0,255,0,
297,PSET,67,90,0,0,0,0,255,
298,RECTF,68,80,5,20,0,255,0,
298,PSET,68,88,0,0,0,0,255,
299,RECTF,69,90,5,10,0,255,0,
299,PSET,69,90,0,0,0,0,255,
300,RECTF,70,90,5,10,0,255,0,
300,PSET,70,91,0,0,0,0,255,
300,TEXT,10,120,0,0,255,255,255,Gen 300 Max 1
301,RECTF,71,90,5,10,0,255,0,
